Source File	Size	loadResources	load	generateSnapshots	load-configure	scan	loadDepInfo	loadInfo	checkR4R4B	generateNarratives	validate	loadLists	checkConformanceResources	checkConformanceResources2	checkConformanceResources3	generateLogicalMaps	validateExpressions	scanForUsageStats	checkURLsUnique	processProvenanceDetails	generate1	generate2	responsesForQuestionnaire	generateLogicals	makeDependencies	generateExampleZip	generateValidationPack	scanProfilesForR5	scanExamplesForR5
fsh-generated/resources/CapabilityStatement-ISiKCapabilityStatementMedikamentRolle.json	9920	3	0	0	0	0	0	0	1	21	0	0	0	0	0	0	0	0	0	0	20	13	0	0	0	0	1	0	0
fsh-generated/resources/CapabilityStatement-ISiKCapabilityStatementMedikationInformationAkteur.json	4732	2	0	0	0	0	0	0	0	10	0	0	0	0	0	0	0	0	0	0	13	7	0	0	0	0	0	0	0
fsh-generated/resources/CapabilityStatement-ISiKCapabilityStatementMedikationInformationRolle.json	24182	4	0	0	0	0	0	0	2	43	0	0	0	0	0	0	0	0	0	0	33	18	0	0	1	0	2	0	0
fsh-generated/resources/CapabilityStatement-ISiKCapabilityStatementMedikationVerabreichungAkteur.json	4766	2	0	0	0	0	0	0	0	9	0	0	0	0	0	0	0	0	0	0	13	7	0	0	0	0	0	0	0
fsh-generated/resources/CapabilityStatement-ISiKCapabilityStatementMedikationVerabreichungRolle.json	16036	3	0	0	0	0	0	0	1	24	0	0	0	0	0	0	0	0	0	0	32	12	0	0	0	0	1	0	0
fsh-generated/resources/CapabilityStatement-ISiKCapabilityStatementMedikationVerordnungAkteur.json	4728	3	0	0	1	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	18	7	0	0	0	0	1	0	0
fsh-generated/resources/CapabilityStatement-ISiKCapabilityStatementMedikationVerordnungRolle.json	17272	3	0	0	0	0	0	0	1	25	0	0	0	0	0	0	0	0	0	0	40	13	0	0	0	0	1	0	0
fsh-generated/resources/CapabilityStatement-ISiKCapabilityStatementMetadatenErzeugenRolle.json	2601	3	0	0	0	0	0	0	0	13	0	0	0	0	0	0	0	0	0	0	13	8	0	0	0	0	1	0	0
fsh-generated/resources/CapabilityStatement-ISiKCapabilityStatementMetadatenUpdateRolle.json	2587	2	0	0	0	0	0	0	0	10	0	0	0	0	0	0	0	0	0	0	13	7	0	0	0	0	0	0	0
fsh-generated/resources/CapabilityStatement-ISiKCapabilityStatementStammdatenRolle.json	21500	3	0	0	0	0	0	0	1	38	0	0	0	0	0	0	0	0	0	0	36	17	0	0	0	0	2	0	0
fsh-generated/resources/CapabilityStatement-ISiKCapabilityStatementSubscriptionRolle.json	12034	3	0	0	0	0	0	0	1	22	0	0	0	0	0	0	0	0	0	0	29	12	0	0	0	0	1	0	0
fsh-generated/resources/CapabilityStatement-ISiKCapabilityStatementSubscriptionServerAkteur.json	3671	3	0	0	0	0	0	0	0	11	0	0	0	0	0	0	0	0	0	0	14	7	0	0	0	0	0	0	0
