URL,Version,Status,OIDs,Name,Title,Descriptino,Uses,Used,Sources
http://dvmd.de/fhir/ValueSet/kdl,2025,active,"1.2.276.0.76.11.469",ValueSetKDL,ValueSet Klinische Dokumentenklassen-Liste (Version 2025),"ValueSets sind Listen von Codes, die in einem bestimmten Kontext verwendet werden. Durch sog. &quot;Terminology-Binding&quot; können Attribute von FHIR-Ressourcen an ValueSets gebunden werden, um die Menge der zulässigen Werte für dieses Attribut einzuschränken.  Dieses ValueSet enthält sämtliche Codes aus dem CodeSystem &quot;KDL&quot; und ist für Bindings an Attribute geeignet, an denen alle Werte aus dem CodeSystem &quot;KDL&quot; erlaubt werden sollen.  Beispiel: DocumentReference.type","StructureDefinition/ISiKDokumentenMetadaten","dvmd.kdl.r4"
http://example.org/fhir/ValueSet/TestValueSet,0.1.0,active,,TestValueSet,,"",,
http://fhir.de/ValueSet/AbrechnungsDiagnoseProzedur,1.5.4,active,,AbrechnungsDiagnoseProzedur,AbrechnungsDiagnoseProzedur ValueSet,"Rolle von Diagnosen und Prozeduren im Abrechnungs-Kontext","StructureDefinition/ISiKAbrechnungsfall","de.basisprofil.r4"
http://fhir.de/ValueSet/DiagnoseTyp,1.5.4,active,,DiagnoseTyp,DiagnoseTyp ValueSet,"DiagnoseTyp ValueSet","StructureDefinition/ISiKKontaktGesundheitseinrichtung,StructureDefinition/ISiKTerminKontaktMitGesundheitseinrichtung","de.basisprofil.r4"
http://fhir.de/ValueSet/Diagnosesubtyp,1.5.4,active,,Diagnosesubtyp,Diagnosesubtyp ValueSet,"Diagnosesubtyp ValueSet","StructureDefinition/ISiKKontaktGesundheitseinrichtung,StructureDefinition/ISiKTerminKontaktMitGesundheitseinrichtung","de.basisprofil.r4,THO"
http://fhir.de/ValueSet/EkgAbleitungenVS,1.5.4,active,,EkgAbleitungenVS,SNOMED CT codes der EKG Ableitungen,"ValueSet mit den SNOMED CT codes der EKG Ableitungen","StructureDefinition/ISiKEKG","SCT"
http://fhir.de/ValueSet/EkgLeads,1.5.4,active,,EkgLeads,EKG/ECG leads,"EKG/ECG leads","StructureDefinition/ISiKEKG","LOINC"
http://fhir.de/ValueSet/EncounterClassDE,1.5.4,active,,EncounterClassDE,EncounterClassDE,"Fallarten und Patientenstatus zur Codierung von Encounter.class","StructureDefinition/ISiKKontaktGesundheitseinrichtung,StructureDefinition/ISiKTerminKontaktMitGesundheitseinrichtung","THO (V3)"
http://fhir.de/ValueSet/EncounterStatusDe,1.5.4,active,,EncounterStatusDe,Encounter Status ValueSet,"Einschränkung von Encounter Status in Vorbereitung auf Änderungen in FHIR R5","StructureDefinition/ISiKKontaktGesundheitseinrichtung,StructureDefinition/ISiKTerminKontaktMitGesundheitseinrichtung","hl7.fhir.r4.core"
http://fhir.de/ValueSet/UcumVitalsCommonDE,1.5.4,active,,UCUM_Vitals_Common_DE,UCUM Vitals Common DE,"Alle innerhalb der VitalSign Profile (DE) erlaubten UCUM Einheiten für value[x]","StructureDefinition/ISiKKoerpertemperatur,StructureDefinition/ISiKHerzfrequenz,StructureDefinition/ISiKKoerperkerntemperatur,StructureDefinition/ISiKAtemfrequenz,StructureDefinition/ISiKSauerstoffsaettigungArteriell,StructureDefinition/ISiKKoerpergewicht,StructureDefinition/sd-mii-icu-koerpertemperatur-kern,StructureDefinition/sd-mii-icu-koerpertemperatur-harnblase,StructureDefinition/ISiKKoerpergroesse,StructureDefinition/sd-mii-icu-koerpertemperatur-unter-der-zunge,StructureDefinition/sd-mii-icu-koerpertemperatur-rektal,StructureDefinition/ISiKKopfumfang,StructureDefinition/sd-mii-icu-koerpertemperatur-leiste,StructureDefinition/sd-mii-icu-koerpertemperatur-blut,StructureDefinition/sd-mii-icu-koerpertemperatur-trommelfell,StructureDefinition/sd-mii-icu-koerpertemperatur-speiseroehre,StructureDefinition/ISiKBlutdruckSystemischArteriell,StructureDefinition/sd-mii-icu-koerpertemperatur-vaginal,StructureDefinition/sd-mii-icu-koerpertemperatur-achsel","UCUM"
http://fhir.de/ValueSet/VitalSignDE-Atemfrequenz-SNOMED-CT,1.5.4,active,,VitalSignDE_Atemfrequenz_SNOMED_CT,VitalSignDE_Atemfrequenz_SNOMED_CT,"VitalSignDE_Atemfrequenz_SNOMED_CT enthält die erwarteten $sct Codes für Atemfrequenz","StructureDefinition/ISiKAtemfrequenz","SCT"
