URL,Version,Status,OIDs,Name,Title,Description,Used
http://example.org/fhir/CodeSystem/TestKatalog,0.1.0,active,,TestKatalog,,"",
http://gefyra.info/training/CodeSystem/ISiKBehandlungsergebnisRehaCS,0.1.0,active,,ISiKBehandlungsergebnisReha,,"Behandlungsergebnis Reha gemäß §301(4 UND 4A) SGB V. Diagnosenbezogene Bewertung des Behandlungsergebnisses für einen Versicherten/Berechtigten bei Entlassung aus der Reha-Maßnahme bzw. Stellung eines Antrags auf Verlängerung. Vgl. Schlüsseltabelle 2.71 Diagnose - Behandlungsergebnis.",
http://gefyra.info/training/CodeSystem/ISiKBesondereBehandlungsformRehaCS,0.1.0,active,,ISiKBesondereBehandlungsformReha,,"Besondere Behandlungsform der Reha gemäß §301(4 UND 4A) SGB V. Vgl. Schlüsseltabelle 2.51 Besondere Behandlungsformen.",
http://gefyra.info/training/CodeSystem/ISiKEntlassformRehaCS,0.1.0,active,,ISiKEntlassformReha,,"ISiK Entlassform Reha. Beschreibt Form und ggf. Weiterbehandlung der Entlassung eines Versicherten/Berechtigten aus verwaltungs- und medizinischer Sicht. Vgl. Schlüsseltabelle 2.107 Entlassungsform.",
http://gefyra.info/training/CodeSystem/ISiKMDRRelevanzFormularCS,0.1.0,active,,ISiKMDRRelevanzFormular,,"",
http://gefyra.info/training/CodeSystem/ISiKMedikationsartCS,0.1.0,active,,ISiKMedikationsartCS,ISiK Medikationsart,"ISiK Therapiearten für Medikation",
http://gefyra.info/training/CodeSystem/ISiKSubscriptionTopic,0.1.0,active,,ISiKSubscriptionTopic,ISiK-SubscriptionTopic,"Liste der aller SubscriptionTopics, die in ISiK verwendet werden können. Neben den merge-SubscriptionTopics sind auch die SubscriptionTopics für Updates der Ressourcen enthalten, die in ISiK verwendet werden können.",
http://gefyra.info/training/CodeSystem/ISiKUnterbrechungRehaCS,0.1.0,active,,ISiKUnterbrechungReha,,"ISiK Unterbrechung Reha. Dokumentiert die relevanten Gründe einer Unterbrechung einer Rehabilitationsmaßnahme im Einzelfall. Vgl. Schlüsseltabelle 2.111 Erläuterung zur Unterbrechung.",
http://hl7.org/fhir/subscription-notification-type,0.1.0,active,"2.16.840.1.113883.4.642.1.1524",SubscriptionNotificationTypeCS,SubscriptionNotificationType,"The type of notification represented by the status message.",
